Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  36000 |loss   0.00 |n_ep  2223 |ep_len   28.8 |ep_rew  -0.25 |raw_ep_rew   0.96 |env_step  72000 |time 13:00 rem 709:45
iter  36500 |loss   0.00 |n_ep  2254 |ep_len   33.4 |ep_rew  -0.17 |raw_ep_rew   0.83 |env_step  73000 |time 13:11 rem 710:03
iter  37000 |loss   0.00 |n_ep  2283 |ep_len   31.6 |ep_rew  -0.20 |raw_ep_rew   1.19 |env_step  74000 |time 13:23 rem 710:20
iter  37500 |loss   0.01 |n_ep  2313 |ep_len   35.0 |ep_rew  -0.12 |raw_ep_rew   1.25 |env_step  75000 |time 13:34 rem 710:35
iter  38000 |loss   0.00 |n_ep  2341 |ep_len   31.9 |ep_rew  -0.20 |raw_ep_rew   1.40 |env_step  76000 |time 13:46 rem 710:55
iter  38500 |loss   0.00 |n_ep  2372 |ep_len   33.1 |ep_rew  -0.13 |raw_ep_rew   1.18 |env_step  77000 |time 13:57 rem 711:11
iter  39000 |loss   0.00 |n_ep  2404 |ep_len   27.5 |ep_rew  -0.29 |raw_ep_rew   1.13 |env_step  78000 |time 14:09 rem 711:29
iter  39500 |loss   0.00 |n_ep  2422 |ep_len   46.6 |ep_rew   0.17 |raw_ep_rew   1.71 |env_step  79000 |time 14:20 rem 711:41
iter  40000 |loss   0.00 |n_ep  2453 |ep_len   28.7 |ep_rew  -0.25 |raw_ep_rew   1.67 |env_step  80000 |time 14:31 rem 711:54
iter  40500 |loss   0.00 |n_ep  2488 |ep_len   29.1 |ep_rew  -0.20 |raw_ep_rew   1.15 |env_step  81000 |time 14:43 rem 712:12
iter  41000 |loss   0.00 |n_ep  2509 |ep_len   50.0 |ep_rew   0.26 |raw_ep_rew   1.72 |env_step  82000 |time 14:54 rem 712:21
iter  41500 |loss   0.00 |n_ep  2543 |ep_len   27.8 |ep_rew  -0.27 |raw_ep_rew   1.36 |env_step  83000 |time 15:05 rem 712:36
iter  42000 |loss   0.00 |n_ep  2581 |ep_len   24.4 |ep_rew  -0.35 |raw_ep_rew   0.70 |env_step  84000 |time 15:17 rem 712:51
iter  42500 |loss   0.00 |n_ep  2615 |ep_len   27.6 |ep_rew  -0.29 |raw_ep_rew   0.85 |env_step  85000 |time 15:28 rem 713:01
iter  43000 |loss   0.00 |n_ep  2648 |ep_len   28.8 |ep_rew  -0.28 |raw_ep_rew   0.68 |env_step  86000 |time 15:40 rem 713:13
iter  43500 |loss   0.00 |n_ep  2683 |ep_len   27.4 |ep_rew  -0.27 |raw_ep_rew   0.77 |env_step  87000 |time 15:51 rem 713:24
iter  44000 |loss   0.00 |n_ep  2717 |ep_len   29.0 |ep_rew  -0.25 |raw_ep_rew   0.79 |env_step  88000 |time 16:03 rem 713:39
iter  44500 |loss   0.00 |n_ep  2751 |ep_len   30.2 |ep_rew  -0.25 |raw_ep_rew   0.68 |env_step  89000 |time 16:14 rem 713:50
iter  45000 |loss   0.00 |n_ep  2782 |ep_len   34.0 |ep_rew  -0.08 |raw_ep_rew   1.05 |env_step  90000 |time 16:26 rem 713:59
iter  45500 |loss   0.00 |n_ep  2805 |ep_len   47.6 |ep_rew   0.26 |raw_ep_rew   1.52 |env_step  91000 |time 16:37 rem 714:06
iter  46000 |loss   0.00 |n_ep  2835 |ep_len   34.2 |ep_rew  -0.00 |raw_ep_rew   1.68 |env_step  92000 |time 16:48 rem 714:14
iter  46500 |loss   0.00 |n_ep  2866 |ep_len   32.2 |ep_rew  -0.19 |raw_ep_rew   1.50 |env_step  93000 |time 17:00 rem 714:24
iter  47000 |loss   0.00 |n_ep  2886 |ep_len   46.6 |ep_rew   0.22 |raw_ep_rew   2.14 |env_step  94000 |time 17:11 rem 714:29
iter  47500 |loss   0.00 |n_ep  2921 |ep_len   27.8 |ep_rew  -0.26 |raw_ep_rew   1.31 |env_step  95000 |time 17:23 rem 714:37
iter  48000 |loss   0.00 |n_ep  2948 |ep_len   42.0 |ep_rew   0.09 |raw_ep_rew   1.44 |env_step  96000 |time 17:34 rem 714:43
iter  48500 |loss   0.00 |n_ep  2975 |ep_len   31.3 |ep_rew  -0.20 |raw_ep_rew   1.67 |env_step  97000 |time 17:45 rem 714:48
iter  49000 |loss   0.00 |n_ep  3012 |ep_len   27.1 |ep_rew  -0.27 |raw_ep_rew   1.07 |env_step  98000 |time 17:57 rem 714:56
iter  49500 |loss   0.00 |n_ep  3039 |ep_len   34.9 |ep_rew  -0.08 |raw_ep_rew   1.19 |env_step  99000 |time 18:08 rem 715:00
iter  50000 |loss   0.00 |n_ep  3072 |ep_len   30.7 |ep_rew  -0.22 |raw_ep_rew   1.24 |env_step 100000 |time 18:20 rem 715:08
iter  50500 |loss   0.00 |n_ep  3108 |ep_len   27.0 |ep_rew  -0.28 |raw_ep_rew   0.92 |env_step 101000 |time 18:31 rem 715:16
