Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  56500 |loss   0.11 |n_ep 10403 |ep_len   60.9 |ep_rew   0.84 |raw_ep_rew   7.98 |env_step 452000 |time 56:50 rem 949:12
iter  57000 |loss   0.09 |n_ep 10472 |ep_len   54.9 |ep_rew   0.68 |raw_ep_rew   8.36 |env_step 456000 |time 57:20 rem 948:39
iter  57500 |loss  -0.02 |n_ep 10527 |ep_len   79.2 |ep_rew   1.23 |raw_ep_rew   8.28 |env_step 460000 |time 57:50 rem 948:06
iter  58000 |loss   0.01 |n_ep 10590 |ep_len   65.9 |ep_rew   0.85 |raw_ep_rew   9.03 |env_step 464000 |time 58:20 rem 947:33
iter  58500 |loss  -0.03 |n_ep 10657 |ep_len   62.1 |ep_rew   0.66 |raw_ep_rew   8.52 |env_step 468000 |time 58:50 rem 946:59
iter  59000 |loss   0.00 |n_ep 10717 |ep_len   76.0 |ep_rew   1.12 |raw_ep_rew   9.27 |env_step 472000 |time 59:20 rem 946:26
iter  59500 |loss   0.06 |n_ep 10769 |ep_len   74.3 |ep_rew   1.09 |raw_ep_rew   9.88 |env_step 476000 |time 59:50 rem 945:51
iter  60000 |loss  -0.06 |n_ep 10827 |ep_len   74.8 |ep_rew   1.14 |raw_ep_rew  10.04 |env_step 480000 |time 60:20 rem 945:19
iter  60500 |loss   0.08 |n_ep 10882 |ep_len   72.9 |ep_rew   0.96 |raw_ep_rew  10.31 |env_step 484000 |time 60:50 rem 944:44
iter  61000 |loss   0.05 |n_ep 10944 |ep_len   79.0 |ep_rew   1.25 |raw_ep_rew   8.94 |env_step 488000 |time 61:20 rem 944:11
iter  61500 |loss   0.05 |n_ep 10996 |ep_len   73.4 |ep_rew   1.06 |raw_ep_rew  10.72 |env_step 492000 |time 61:50 rem 943:36
iter  62000 |loss  -0.02 |n_ep 11045 |ep_len   84.8 |ep_rew   1.38 |raw_ep_rew  11.41 |env_step 496000 |time 62:20 rem 943:02
iter  62500 |loss  -0.13 |n_ep 11096 |ep_len   74.2 |ep_rew   0.98 |raw_ep_rew  11.80 |env_step 500000 |time 62:49 rem 942:28
iter  63000 |loss  -0.08 |n_ep 11149 |ep_len   82.1 |ep_rew   1.18 |raw_ep_rew  12.20 |env_step 504000 |time 63:19 rem 941:53
iter  63500 |loss   0.04 |n_ep 11204 |ep_len   75.6 |ep_rew   1.14 |raw_ep_rew  11.85 |env_step 508000 |time 63:49 rem 941:20
iter  64000 |loss   0.08 |n_ep 11253 |ep_len   77.3 |ep_rew   1.07 |raw_ep_rew  11.26 |env_step 512000 |time 64:19 rem 940:47
iter  64500 |loss   0.07 |n_ep 11305 |ep_len   82.8 |ep_rew   1.29 |raw_ep_rew  11.74 |env_step 516000 |time 64:49 rem 940:13
iter  65000 |loss   0.16 |n_ep 11351 |ep_len   93.2 |ep_rew   1.56 |raw_ep_rew  11.34 |env_step 520000 |time 65:19 rem 939:38
iter  65500 |loss   0.01 |n_ep 11405 |ep_len   74.0 |ep_rew   1.11 |raw_ep_rew  12.42 |env_step 524000 |time 65:49 rem 939:04
iter  66000 |loss  -0.07 |n_ep 11452 |ep_len   91.1 |ep_rew   1.54 |raw_ep_rew  12.74 |env_step 528000 |time 66:19 rem 938:31
iter  66500 |loss  -0.07 |n_ep 11499 |ep_len   79.7 |ep_rew   1.34 |raw_ep_rew  12.86 |env_step 532000 |time 66:49 rem 937:58
iter  67000 |loss   0.10 |n_ep 11546 |ep_len   87.3 |ep_rew   1.56 |raw_ep_rew  13.42 |env_step 536000 |time 67:18 rem 937:24
iter  67500 |loss  -0.09 |n_ep 11584 |ep_len  114.8 |ep_rew   2.09 |raw_ep_rew  15.14 |env_step 540000 |time 67:48 rem 936:49
iter  68000 |loss   0.15 |n_ep 11635 |ep_len   92.4 |ep_rew   1.56 |raw_ep_rew  13.69 |env_step 544000 |time 68:18 rem 936:17
iter  68500 |loss   0.06 |n_ep 11683 |ep_len   87.3 |ep_rew   1.46 |raw_ep_rew  12.09 |env_step 548000 |time 68:48 rem 935:43
iter  69000 |loss   0.01 |n_ep 11735 |ep_len   72.4 |ep_rew   1.04 |raw_ep_rew  11.70 |env_step 552000 |time 69:18 rem 935:09
iter  69500 |loss   0.10 |n_ep 11783 |ep_len   80.3 |ep_rew   1.30 |raw_ep_rew  12.77 |env_step 556000 |time 69:48 rem 934:35
iter  70000 |loss   0.08 |n_ep 11828 |ep_len   94.8 |ep_rew   1.55 |raw_ep_rew  11.68 |env_step 560000 |time 70:18 rem 934:02
iter  70500 |loss  -0.01 |n_ep 11873 |ep_len   88.3 |ep_rew   1.61 |raw_ep_rew  12.65 |env_step 564000 |time 70:48 rem 933:29
iter  71000 |loss  -0.06 |n_ep 11922 |ep_len   59.8 |ep_rew   0.72 |raw_ep_rew  14.40 |env_step 568000 |time 71:18 rem 932:55
iter  71500 |loss  -0.08 |n_ep 11973 |ep_len   89.5 |ep_rew   1.50 |raw_ep_rew  11.61 |env_step 572000 |time 71:47 rem 932:22
iter  72000 |loss  -0.09 |n_ep 12018 |ep_len   95.3 |ep_rew   1.74 |raw_ep_rew  13.73 |env_step 576000 |time 72:17 rem 931:49
iter  72500 |loss   0.03 |n_ep 12061 |ep_len   85.1 |ep_rew   1.35 |raw_ep_rew  14.51 |env_step 580000 |time 72:47 rem 931:16
iter  73000 |loss  -0.03 |n_ep 12102 |ep_len   92.8 |ep_rew   1.68 |raw_ep_rew  14.98 |env_step 584000 |time 73:17 rem 930:42
iter  73500 |loss  -0.02 |n_ep 12146 |ep_len   88.1 |ep_rew   1.52 |raw_ep_rew  15.13 |env_step 588000 |time 73:47 rem 930:09
iter  74000 |loss   0.13 |n_ep 12187 |ep_len   89.6 |ep_rew   1.54 |raw_ep_rew  15.27 |env_step 592000 |time 74:17 rem 929:36
iter  74500 |loss   0.08 |n_ep 12234 |ep_len   88.2 |ep_rew   1.43 |raw_ep_rew  14.66 |env_step 596000 |time 74:47 rem 929:03
iter  75000 |loss  -0.10 |n_ep 12276 |ep_len   80.7 |ep_rew   1.33 |raw_ep_rew  14.57 |env_step 600000 |time 75:17 rem 928:30
iter  75500 |loss   0.05 |n_ep 12323 |ep_len   72.7 |ep_rew   1.21 |raw_ep_rew  13.75 |env_step 604000 |time 75:46 rem 927:57
iter  76000 |loss   0.06 |n_ep 12369 |ep_len   94.5 |ep_rew   1.76 |raw_ep_rew  14.65 |env_step 608000 |time 76:16 rem 927:25
iter  76500 |loss  -0.16 |n_ep 12416 |ep_len   85.6 |ep_rew   1.39 |raw_ep_rew  15.52 |env_step 612000 |time 76:46 rem 926:52
iter  77000 |loss   0.03 |n_ep 12456 |ep_len  106.0 |ep_rew   1.94 |raw_ep_rew  14.61 |env_step 616000 |time 77:16 rem 926:19
iter  77500 |loss  -0.06 |n_ep 12502 |ep_len   87.1 |ep_rew   1.51 |raw_ep_rew  15.55 |env_step 620000 |time 77:46 rem 925:46
iter  78000 |loss   0.02 |n_ep 12536 |ep_len  101.1 |ep_rew   2.06 |raw_ep_rew  18.51 |env_step 624000 |time 78:16 rem 925:13
iter  78500 |loss  -0.06 |n_ep 12573 |ep_len  116.6 |ep_rew   2.39 |raw_ep_rew  19.25 |env_step 628000 |time 78:46 rem 924:40
iter  79000 |loss  -0.04 |n_ep 12610 |ep_len   94.0 |ep_rew   1.76 |raw_ep_rew  19.82 |env_step 632000 |time 79:16 rem 924:06
